,date,gdp,cpi,ir,DLgdp,DLcpi
1,1954-07-01,390.996,26.84,1.03,,
2,1954-10-01,399.734,26.75666667,0.986666667,0.02210199614339814,-0.003109648503525797
3,1955-01-01,413.073,26.79333333,1.343333333,0.032825006892164055,0.0013694366285812443
4,1955-04-01,421.532,26.75666667,1.5,0.02027136110631833,-0.0013694366285812443
5,1955-07-01,430.221,26.77666667,1.94,0.02040333625123303,0.0007471980421427382
6,1955-10-01,437.092,26.85666667,2.356666667,0.015844669106702014,0.0029832216030127867
7,1956-01-01,439.746,26.86,2.483333333,0.0060535882451571155,0.00012410784998095892
8,1956-04-01,446.01,27.03666667,2.693333333,0.014144085794387529,0.006555778442341342
9,1956-07-01,451.191,27.31666667,2.81,0.011549379883029509,0.010303047106321461
10,1956-10-01,460.463,27.55,2.926666667,0.020341751842508415,0.008505518955169045
11,1957-01-01,469.779,27.77666667,2.933333333,0.02002986633455084,0.008193804247087044
12,1957-04-01,472.025,28.01333333,3,0.004769578931138163,0.008484247343688356
13,1957-07-01,479.49,28.26333333,3.233333333,0.015691088764075545,0.008884735340164429
14,1957-10-01,474.864,28.4,3.253333333,-0.009694591799695118,0.004823822637296971
15,1958-01-01,467.54,28.73666667,1.863333333,-0.015543540683084167,0.01178474650255934
16,1958-04-01,471.978,28.93,0.94,0.009447467763884276,0.006705227318323903
17,1958-07-01,485.841,28.91333333,1.323333333,0.02894903554822026,-0.0005762693642199501
18,1958-10-01,499.555,28.94333333,2.163333333,0.02783629225904871,0.0010370456654529292
19,1959-01-01,510.33,28.99333333,2.57,0.02133987315255581,0.0017260230971372081
20,1959-04-01,522.653,29.04333333,3.083333333,0.023860188651594783,0.001723049073901084
21,1959-07-01,525.034,29.19333333,3.576666667,0.004545258458228396,0.005151405130646491
22,1959-10-01,528.6,29.37,3.99,0.006768979770764183,0.006033372619567601
23,1960-01-01,542.648,29.39666667,3.933333333,0.026228857098163694,0.0009075441348422864
24,1960-04-01,541.08,29.57333333,3.696666667,-0.002893717047358635,0.005991764915916686
